id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
the-open-network,gram,Gram (prev. Toncoin),https://coin-images.coingecko.com/coins/images/17980/large/Gram_Circular_Badge.png?1781524778,1.36,3697766948,25,7069621936,24490761.0,1.4,1.35,-0.03805057346062157,-2.72909,-105049054.1371274,-2.7624,2727847670.948841,5215269649.329299,,7.7,-82.41985,2024-06-15T00:36:51.509Z,0.44288,205.54858,2021-09-21T00:33:11.092Z,,2026-07-16T14:11:57.461Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.873117,3501710381,26,3501710381,68209953.0,0.874503,0.870888,-0.001360241850463573,-0.15555,-24126611.306160927,-0.68428,4010488807.876984,4010488807.876984,,0.987328,-11.59243,2025-01-13T15:16:17.109Z,0.82377,5.9607,2025-10-10T21:28:05.323Z,,2026-07-16T14:12:01.190Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,39.14,3028083244,27,3028101829,249117861.0,40.03,38.72,-0.6968185266046021,-1.74936,-54658958.72485161,-1.77306,77390460.12332322,77390935.12488988,84000000.0,337.56,-88.43113,2021-05-10T03:13:07.904Z,0.981314,3879.60206,2015-01-14T00:00:00.000Z,,2026-07-16T14:11:57.704Z
global-dollar,usdg,Global Dollar,https://coin-images.coingecko.com/coins/images/51281/large/GDN_USDG_Token_200x200.png?1730484111,0.875963,2768644503,28,2768644503,209193607.0,0.877528,0.871284,0.00041673,0.0476,2396537.0,0.08663,3159471119.954465,3159471119.954465,,1.59,-44.90888,2025-01-30T00:01:06.343Z,0.829146,5.44736,2026-01-27T20:56:15.941Z,,2026-07-16T14:12:04.933Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,0.656263,2659503623,29,6562893302,203582900.0,0.665934,0.640539,-0.009671281212454974,-1.45229,-39906808.32764912,-1.47835,4052334085.342099,10000000000.0,10000000000.0,5.19,-87.34317,2025-01-04T22:56:18.063Z,0.344803,90.33014,2023-10-19T22:05:15.703Z,,2026-07-16T14:11:59.150Z
hashnote-usyc,usyc,Circle USYC,https://coin-images.coingecko.com/coins/images/51054/large/Hashnote_SDYC_200x200.png?1730370965,0.990071,2629978732,30,2629978732,92.08,,,,,,,2656354852.336815,2656354852.336815,,1.063,-6.8611,2025-01-10T15:51:18.184Z,0.924902,7.04603,2025-07-03T10:52:18.999Z,,2026-07-14T21:21:50.366Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.058771,2573291269,31,2938144383,47526146.0,0.059733,0.058339,-0.000653656880794287,-1.09998,-29425993.42214966,-1.13059,43791096248.39645,50000000000.0,50000000000.0,0.481298,-87.797,2021-09-15T10:40:28.318Z,0.00882817,565.28815,2020-01-02T17:30:24.852Z,,2026-07-16T14:12:02.386Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,5.79,2498631909,32,2681898612,121272868.0,5.88,5.7,-0.08041985764726167,-1.37042,-35625193.3675518,-1.40575,431771961.1772119,463441061.1772119,720000000.0,128.43,-95.50327,2021-11-21T14:18:56.538Z,2.28,153.04466,2020-12-31T13:15:21.540Z,,2026-07-16T14:11:55.940Z
paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Token_Logo_2x.png?1765987788,0.873265,2486720963,33,2486720963,47183046.0,0.874553,0.870748,-0.001169478703933691,-0.13374,-2928290.5453329086,-0.11762,2847627429.611962,2847627429.611962,,0.993582,-12.11179,2025-01-13T15:26:22.355Z,0.828427,5.40961,2026-01-27T20:55:57.538Z,,2026-07-16T14:12:00.043Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,1.81,2354300773,34,2354300797,143504679.0,1.82,1.75,-0.011783179431972268,-0.64687,-16673011.596720695,-0.70321,1301013435.0,1301013448.0,,18.07,-90.00247,2022-04-08T07:23:59.952Z,0.449891,301.5728,2020-11-04T16:09:15.137Z,,2026-07-16T14:11:54.984Z
